crop_time,read_image_time,model_time,full_time,run_time
32.60,27092.80,0.50,27134.20,41.40
32.70,28819.00,1.10,28860.00,41.00
31.90,30257.50,0.50,30298.20,40.70
33.00,28488.20,0.80,28529.90,41.70
31.20,28224.90,0.70,28282.50,57.60
44.10,44441.80,0.50,44495.50,53.70
32.30,28881.00,0.40,28921.80,40.80
32.50,26818.20,0.40,26860.30,42.10
32.10,28961.30,0.70,29003.50,42.20
35.10,28690.60,0.70,28735.00,44.40
34.10,30754.30,0.60,30797.10,42.80
34.80,26997.10,0.50,27041.30,44.20
32.30,28566.70,0.50,28606.80,40.10
32.60,30360.50,0.60,30401.80,41.30
33.80,28464.90,0.80,28507.60,42.70
33.90,29592.30,0.50,29635.10,42.80
35.60,27102.00,0.70,27147.20,45.20
77.30,44558.10,0.50,44645.80,87.70
32.80,27260.10,0.60,27301.40,41.30
32.90,27071.30,0.50,27113.60,42.30
32.50,29043.30,0.80,29086.60,43.30
33.60,27890.30,0.40,27933.10,42.80
34.20,28674.20,0.50,28717.80,43.60
32.20,28783.60,0.50,28826.00,42.40
31.20,29235.10,0.60,29274.80,39.70
32.40,28542.70,0.40,28584.60,41.90
28.60,29938.20,0.60,29975.20,37.00
37.40,30030.10,1.10,30077.30,47.20
36.00,26606.60,0.70,26653.00,46.40
33.10,36121.90,0.80,36164.50,42.60
33.10,27742.00,0.30,27783.70,41.70
33.10,29487.50,0.80,29531.90,44.40
33.20,27718.60,1.10,27761.60,43.00
32.00,28815.20,0.60,28856.00,40.80
33.00,30178.10,0.40,30219.80,41.70
32.70,26878.20,0.40,26919.60,41.40
28.50,28302.10,0.60,28338.10,36.00
32.70,29929.30,0.50,29971.30,42.00
31.70,30359.50,0.60,30400.70,41.20
32.70,28581.90,0.50,28622.60,40.70
35.50,27239.20,0.50,27284.10,44.90
38.60,34664.40,0.80,34714.70,50.30
37.70,25059.40,0.90,25108.10,48.70
42.90,24845.80,1.00,24899.20,53.40
32.70,27616.20,0.40,27662.50,46.30
30.70,28684.40,0.40,28723.40,39.00
33.80,29434.80,0.70,29478.20,43.40
35.00,27745.60,0.80,27790.50,44.90
